rentrak_title_id,title_name,year,week,studio,genre,screen_number,sequel,gbo,opening,lead_actor,supporting_actor,producer,director,synopsis
809903,Daybreakers,2010,2,Other,Action,2523,0,30101577,15146692,"Ethan Hawke,Willem Dafoe",,Bryan Furst/Chris Brown/Sean Furst,Michael Spierig/Peter Spierig," Fresh off the success of their inventive take on the zombie genre, Undead masterminds Michael and Peter Spierig direct Ethan Hawke in an ambitious tale of a futuristic Earth populated entirely by vampires, and the efforts made by the creatures to ensure that their food supply doesn't run out as humankind is faced with extinction. The year is 2017, and a vampire plague has turned most of the planet's human population into bloodsucking ghouls. As the population of mortals fast begins to dwindle, a vampiric corporation sets out to capture and farm every remaining human while simultaneously researching a consumable blood substitute, headed by undead hematologist Edward Dalton (Ethan Hawke). His work is interrupted after stumbling onto a pocket of human survivors lead by Elvis (Willem Dafoe), a former vampire, whose past reveals a cure that could reverse the tide and save the human race. With time running out, Dalton's only hope lies in outsmarting the security forces of his boss (Sam Neill), whose goal isn't just to find a substitute, but to repopulate humanity in order to sell its blood to the highest bidder. ~ Jason Buchanan, Rovimore "
811466,Leap Year,2010,2,Universal,Comedy,2511,0,25918920,9202815,"Amy Adams,Kaitlin Olson,Matthew Goode",,Chris Bender/Gary Barber/J.C. Spink/Jake Weiner/Jonathan Glickman/Roger Birnbaum,Anand Tucker," A woman (Amy Adams) heads to Ireland in order to force her boyfriend (Adam Scott) to accept her wedding proposal by scheduling it on leap day, the only time when he couldn't refuse due to the country's tradition in this Spyglass Entertainment romantic comedy. Shopgirl's Anand Tucker directs from a script by Harry Elfont and Deborah Kaplan. Matthew Goode co-stars as a handsome innkeeper who throws a wrench into the woman's plans.more "
807837,Youth in Revolt,2010,2,Other,Comedy,1873,0,15281286,6888334,"Michael Cera,Portia Doubleday",,David Permut,Miguel Arteta," Superbad's Michael Cera discovers a vacation romance in Youth in Revolt, a teen comedy from Charlie Bartlett's screenwriter, Gustin Nash, and director Miguel Arteta (Chuck & Buck). The film is an adaptation of C.D. Payne's first book in a series of best-selling satirical novels starring Nick Twisp, a sexually charged 14-year-old whose intelligence and hormones get him into all sorts of adventures. ~ Jeremy Wheeler, Rovimore "
809389,The Book of Eli,2010,3,WB,Action,3111,0,94835059,32789494,"Denzel Washington,Gary Oldman,Mila Kunis",,Andrew A. Kosove/Broderick Johnson/Denzel Washington/Erik Olsen/Joel Silver/Susan Downey,Albert Hughes/Allen Hughes," In a post-apocalyptic America where the once-picturesque countryside has become a desolate and violent wasteland, one man (Denzel Washington) fights to protect that sacred tome that could hold the key to the survival of the human race in this futuristic thriller from filmmaking duo Albert and Allen Hughes (From Hell and Dead Presidents). Gary Oldman, Mila Kunis, and Ray Stevenson co-star in the Warner Bros. production. ~ Jason Buchanan, Rovimore "
807554,The Lovely Bones,2010,3,Paramount,Drama,2563,0,44114232,17005133,"Mark Wahlberg,Rachel Weisz,Susan Sarandon","Michael Imperioli,Stanley Tucci,Saoirse Ronan",Steven Spielberg/Fran Walsh,Peter Jackson," Fourteen-year-old Susie Salmon (Saoirse Ronan) is just experiencing the pangs of first love when she's viciously murdered by her neighbor Mr. Harvey (Stanley Tucci), a predatory wolf with a deceptively mundane appearance. As her family slowly begins drifting apart while struggling to make sense of their loss, Susie bravely attempts to find her footing in the hereafter. Meanwhile, down on earth, Mr. Harvey is feeling confident that he's covered his tracks well enough to get away with the crime, and begins honing in on his next victim -- Susie's younger sister, Lindsey (Rose McIver), who's beginning to suspect that he's not the harmless suburbanite he portrays himself to be. Director Peter Jackson reteams with King Kong and Lord of the Rings trilogy co-screenwriters Philippa Boyens and Fran Walsh to adapt Alice Sebold's bestselling novel for the big screen. ~ Jason Buchanan, Rovimore "
810757,The Spy Next Door,2010,3,Other,Family,2924,0,24307086,9726056,"Billy Ray Cyrus,George Lopez,Jackie Chan",,Robert Simonds/Ryan Kavanaugh,Brian Levant," Reminiscent of Kindergarten Cop, with a dash of Spy Kids, The Spy Next Door blends together an entertaining mixture of family fun and martial-arts comedy styling to form a familiar story that once again reminds us that even hardened action heroes have a soft side. Jackie Chan stars as Bob Ho, an international spy on loan to the CIA who gives up his job in hopes of leading a so-called normal life with his next-door-neighbor girlfriend and her rambunctious brood. There's nothing in Spy that the audience hasn't seen before from similarly themed incarnations (think The Pacifier), but, fans will appreciate director Brian Levant's homage to Jackie Chan's past Hong Kong movie blockbusters -- most notably, Police Story and The Legend of Drunken Master -- during the opening credit sequence, which is fitting considering many of the action sequences are derivative of those films.The main story centers on Bob's relationship with artsy single mom Gillian (Amber Valletta) and her three kids: precocious teenage stepdaughter Farren (Madeline Carroll), nerdy middle child Ian (Will Shadley), and adorably energetic Nora (Alina Foley). After an emergency sends Gillian away to Denver, Bob steps up and offers to watch the kids while she's gone. Ill-equipped to handle a situation that's clearly over his head, Bob utilizes his spy skills and gadgets -- video watch, GPS tracking, x-ray glasses -- to gain control over the situation in hopes of winning over the kid's affection, but when an old enemy escapes from prison and threatens his potential family, Bob must return to his 007 world of international espionage to protect them.Admittedly, there's a certain level of cheese in this film, especially when it comes to the Boris-and-Natasha-style villains, Poldark (Magn̼s Scheving) and Creel (Katherine Boecher), whose silly Russian stereotyped performances and running joke about American fashion unabashedly border on cringe-worthy territory. Not to mention, the thinly plotted storyline involving brainiac Ian, who accidentally downloads a top-secret formula for oil-eating ooze created by the bad guys, which propels the main action of the film. Adding to the pile are the supporting cast members: George Lopez as the traitorous CIA agent, Glaze, and Billy Ray Cyrus as CIA agent and Bob's BFF Colton James, who lends folksy witticisms like ""As gone as rum cake at an AA meeting.""Even so, Chan's charm wins out in the end, and The Spy Next Door's most effective sequences involve Bob's attempts to bond with the kids -- from taking little Nora shopping for a Halloween costume to helping Ian with school bullies and girls. These comedic moments more or less overshadow an otherwise simplistic narrative, and the audience can't help but smile to themselves every time Chan appears onscreen. Die-hard fans might miss the era of classic kick-ass Hong Kong action films, but Spy manages to fill that void as an entertaining alternative that kids and parents alike will enjoy. ~ Alaina O'Connor, Rovimore "
809303,Legion (2010),2010,4,Sony,Action,2476,0,40168080,17501625,"Lucas Black,Paul Bettany,Tyrese Gibson",,David Lancaster/Michel Litvak,Scott Charles Stewart," Scott Stewart's supernatural thriller Legion, scripted by Peter Schink, concerns a group of strangers in an out-of-the-way eatery who become the first line of defense when God, believing the human race is no longer worthy of Him, decides to end their existence. This motley crew's only spiritual ally is the archangel Michael, played by Paul Bettany. Dennis Quaid, Tyrese Gibson, Charles S. Dutton, and Lucas Black co-star in the Screen Gems production. ~ Perry Seibert, Rovimore "
808999,Tooth Fairy,2010,4,Fox,Family,3344,0,60022256,14010409,"Abigail Breslin,Ashley Judd,Dwayne Johnson","Stephen Merchant,Brandon T. Jackson,Julie Andrews,Billy Crystal",Gordon Gray/Jason Blum/Mark Ciardi,Michael Lembeck," 20th Century Fox presents this family comedy following a star hockey player's (Dwayne Johnson) temporary transformation into a full-fledged tooth fairy as penalty for discouraging a young fan. Director Michael Lembeck (The Santa Clause 2 and 3) helms the family comedy, based on a screenplay by veteran comedic writers Lowell Ganz and Babaloo Mandel, with additional writing provided by Joshua Sternin and Jeffrey Ventimilia. Ashley Judd and Julie Andrews co-star in the Blumhouse and Mayhem Pictures production. ~ Jeremy Wheeler, Rovimore "
810652,Extraordinary Measures,2010,4,Other,Drama,2549,0,12068313,6012594,"Brendan Fraser,Harrison Ford",,Carla Santos Shamberg/Michael Shamberg/Stacey Sher,Tom Vaughan," Supported by his beautiful wife Aileen and their three children, John is on the fast track. But just as his career is taking off, Crowley walks away from it all when his two youngest children, Megan and Patrick, are diagnosed with a fatal disease. Crowley teams up with scientist, Dr. Robert Stonehill. Together they form a bio-tech company focused on developing a life-saving drug. One driven to prove himself and his theories, the other by a chance to save his children, this unlikely alliance eventually develops into mutual respect as they battle the medical and business establishments in a fight against the system -- and time. But, when it appears that a solution has been found, the relationship between the two men faces a final test.more "
810626,Edge of Darkness,2010,5,WB,Suspense,3066,0,43313890,17214384,"Danny Huston,Mel Gibson,Ray Winstone","Bojana Novakovic,Peter Hermann,Shawn Roberts",Graham King/Michael Wearing/Tium Headington,Martin Campbell," Casino Royale's Martin Campbell returns to familiar territory with this adaptation of his own 1985 BBC miniseries -- a mystery starring Mel Gibson as a detective looking into his political-activist daughter's death and uncovering layers of governmental conspiracies in the process. William Monahan (The Departed) provides the screenplay for the GK Films production, co-starring Ray Winstone and Danny Huston. ~ Jeremy Wheeler, Rovimore "
